,Unnamed: 0,TITLE,IMAGE_URL,product_type_code,PRODUCT_FOCUS,set,id
0,1,샤넬 크로스백 클래식 WOC 램스킨 금장,http://res.faikerz.com/Files/TextWatch/204/2021/1104/02fd2f20e75e444c8a2c72e928b6d852.jpg,2.0,5.0,train,02fd2f20e75e444c8a2c72e928b6d852
1,2,샤넬 클래식 참 장식 숄더백 미듐,http://res.faikerz.com/Files/TextWatch/204/2021/1104/ba4a4e3f1d964a60a06e22dfce07bee0.jpg,2.0,5.0,train,ba4a4e3f1d964a60a06e22dfce07bee0
2,3,샤넬 19 플랩백 스몰,http://res.faikerz.com/Files/TextWatch/204/2021/1104/00dcd87682fd402a889eae83003d6466.jpg,2.0,7.0,train,00dcd87682fd402a889eae83003d6466
3,4,샤넬 클래식 25 램스킨 은장,http://res.faikerz.com/Files/TextWatch/204/2021/1104/6f1487701f834aedac86f9134918b8b5.jpg,2.0,5.0,train,6f1487701f834aedac86f9134918b8b5
4,5,샤넬 클러치백 클래식 미니 클러치,http://res.faikerz.com/Files/TextWatch/204/2021/1104/7d7bdb20e2224205bd6a690a34598b1f.jpg,2.0,5.0,train,7d7bdb20e2224205bd6a690a34598b1f
5,6,샤넬 19 라지 플랩백 이리데슨트 화이트,http://res.faikerz.com/Files/TextWatch/204/2021/1104/c78ffc729820410897ef7be6125921be.jpg,2.0,7.0,train,c78ffc729820410897ef7be6125921be
6,7,샤넬 가브리엘 백팩 스몰,http://res.faikerz.com/Files/TextWatch/204/2021/1104/0d3644d71ed544678ab412732e3c50eb.jpg,2.0,3.0,train,0d3644d71ed544678ab412732e3c50eb
7,8,샤넬 19 라운드 탬버린백,http://res.faikerz.com/Files/TextWatch/204/2021/1104/ba93bfa5abc5406ebafe3d9bfb6801b8.jpg,2.0,7.0,train,ba93bfa5abc5406ebafe3d9bfb6801b8
8,9,샤넬 보이 램스킨 클러치,http://res.faikerz.com/Files/TextWatch/204/2021/1104/4828f2bec29d42dcaad8cb044dcc2993.jpg,2.0,2.0,train,4828f2bec29d42dcaad8cb044dcc2993
9,10,샤넬 클러치백 보이 클러치 은장 M  L,http://res.faikerz.com/Files/TextWatch/204/2021/1104/072531dceb464d79812af22df5cf849d.jpg,2.0,2.0,train,072531dceb464d79812af22df5cf849d
10,11,샤넬 가브리엘 백팩 스몰 화이트,http://res.faikerz.com/Files/TextWatch/204/2021/1104/1d73bf26e4064f17b10c1b4b8938eee6.jpg,2.0,3.0,train,1d73bf26e4064f17b10c1b4b8938eee6
11,12,샤넬 클래식 플랩백 점보,http://res.faikerz.com/Files/TextWatch/204/2021/1104/cc762fd6244e41ed9b827e39b8d00ec4.jpg,2.0,5.0,train,cc762fd6244e41ed9b827e39b8d00ec4
12,13,샤넬 클래식 캐비어 핸드폰 미니백,http://res.faikerz.com/Files/TextWatch/204/2021/1104/7c3d32c207f143b4b4a0723c817d6c0b.jpg,2.0,5.0,train,7c3d32c207f143b4b4a0723c817d6c0b
13,14,샤넬 이니셜 가브리엘 호보백,http://res.faikerz.com/Files/TextWatch/204/2021/1104/bfe0932e2d604811aea24f04f0f71fcf.jpg,2.0,3.0,train,bfe0932e2d604811aea24f04f0f71fcf
14,15,샤넬 19 WOC 블랙,http://res.faikerz.com/Files/TextWatch/204/2021/1104/ec30b9b89c3a4efcafc982dc6dcd7ec0.jpg,2.0,7.0,train,ec30b9b89c3a4efcafc982dc6dcd7ec0
15,16,샤넬 숄더백 19 라지 플랩백 블랙,http://res.faikerz.com/Files/TextWatch/204/2021/1104/5a6a8ded9b6644d8be03badc4ca3ecd1.jpg,2.0,7.0,train,5a6a8ded9b6644d8be03badc4ca3ecd1
16,18,샤넬 가브리엘 클러치,http://res.faikerz.com/Files/TextWatch/204/2021/1104/3ea8db24471d49f7abb49453bd515109.jpg,2.0,3.0,train,3ea8db24471d49f7abb49453bd515109
17,20,샤넬 여성향수 가브리엘 WOC,http://res.faikerz.com/Files/TextWatch/204/2021/1104/e17b7e8825be4b39ba8bb37925eded0a.jpg,2.0,3.0,train,e17b7e8825be4b39ba8bb37925eded0a
18,24,샤넬 숄더백 가브리엘 호보 M  S 블랙,http://res.faikerz.com/Files/TextWatch/204/2021/1104/95ec88a8b3464f68bd5aea583393a079.jpg,2.0,3.0,train,95ec88a8b3464f68bd5aea583393a079
19,28,샤넬 2.55 빈티지 M 은장,http://res.faikerz.com/Files/TextWatch/204/2021/1104/ef6715f518e84c9ca5982f8d78bf060d.jpg,2.0,1.0,train,ef6715f518e84c9ca5982f8d78bf060d
20,29,샤넬 19 신상 CC 플랩백,http://res.faikerz.com/Files/TextWatch/204/2021/1104/96cdecf8f44f4e4395630d21a99f9148.jpg,2.0,7.0,train,96cdecf8f44f4e4395630d21a99f9148
21,30,샤넬 숄더백 보이백 25 은장 캐비어,http://res.faikerz.com/Files/TextWatch/204/2021/1104/6dc64eca34fe40a6a4e709efec50266b.jpg,2.0,2.0,train,6dc64eca34fe40a6a4e709efec50266b
22,31,샤넬 숄더백 보이백 25 은장 램스킨,http://res.faikerz.com/Files/TextWatch/204/2021/1104/d5ed5439d3aa42e58aee4b141194c4ad.jpg,2.0,2.0,train,d5ed5439d3aa42e58aee4b141194c4ad
23,33,샤넬 클러치백 뉴 클래식 스몰 파우치 램스킨,http://res.faikerz.com/Files/TextWatch/204/2021/1104/35d40b61a7b341598d913efd001d8cea.jpg,2.0,5.0,test,35d40b61a7b341598d913efd001d8cea
24,35,샤넬 19 woc 플랩백,http://res.faikerz.com/Files/TextWatch/204/2021/1104/f051e18024ed45a9b3d5e4c23c5bc3f0.jpg,2.0,7.0,train,f051e18024ed45a9b3d5e4c23c5bc3f0
25,36,샤넬 코코핸들 스몰 캐비어,http://res.faikerz.com/Files/TextWatch/204/2021/1104/96271d4fe2a5465e893959316c4eb561.jpg,2.0,6.0,train,96271d4fe2a5465e893959316c4eb561
26,37,샤넬 2.55 빈티지 M 금장,http://res.faikerz.com/Files/TextWatch/204/2021/1104/d805213e943b465a8e9f061642a9d208.jpg,2.0,1.0,train,d805213e943b465a8e9f061642a9d208
