,TITLE,IMAGE_URL,product_type_code,PRODUCT_FOCUS,set,id
0,샤넬 메탈밴드시계 프리미에르 검판 은장 체인,http://res.faikerz.com/Files/TextWatch/204/2021/1104/6d80e40419e44548957e795cf689ad71.jpg,5.0,2.0,train,6d80e40419e44548957e795cf689ad71
1,샤넬 크로스백 클래식 WOC 램스킨 금장,http://res.faikerz.com/Files/TextWatch/204/2021/1104/02fd2f20e75e444c8a2c72e928b6d852.jpg,2.0,5.0,train,02fd2f20e75e444c8a2c72e928b6d852
2,샤넬 클래식 참 장식 숄더백 미듐,http://res.faikerz.com/Files/TextWatch/204/2021/1104/ba4a4e3f1d964a60a06e22dfce07bee0.jpg,2.0,5.0,train,ba4a4e3f1d964a60a06e22dfce07bee0
3,샤넬 19 플랩백 스몰,http://res.faikerz.com/Files/TextWatch/204/2021/1104/00dcd87682fd402a889eae83003d6466.jpg,2.0,7.0,train,00dcd87682fd402a889eae83003d6466
4,샤넬 클래식 25 램스킨 은장,http://res.faikerz.com/Files/TextWatch/204/2021/1104/6f1487701f834aedac86f9134918b8b5.jpg,2.0,5.0,train,6f1487701f834aedac86f9134918b8b5
5,샤넬 클러치백 클래식 미니 클러치,http://res.faikerz.com/Files/TextWatch/204/2021/1104/7d7bdb20e2224205bd6a690a34598b1f.jpg,2.0,5.0,train,7d7bdb20e2224205bd6a690a34598b1f
6,샤넬 19 라지 플랩백 이리데슨트 화이트,http://res.faikerz.com/Files/TextWatch/204/2021/1104/c78ffc729820410897ef7be6125921be.jpg,2.0,7.0,train,c78ffc729820410897ef7be6125921be
7,샤넬 가브리엘 백팩 스몰,http://res.faikerz.com/Files/TextWatch/204/2021/1104/0d3644d71ed544678ab412732e3c50eb.jpg,2.0,3.0,train,0d3644d71ed544678ab412732e3c50eb
8,샤넬 19 라운드 탬버린백,http://res.faikerz.com/Files/TextWatch/204/2021/1104/ba93bfa5abc5406ebafe3d9bfb6801b8.jpg,2.0,7.0,train,ba93bfa5abc5406ebafe3d9bfb6801b8
9,샤넬 보이 램스킨 클러치,http://res.faikerz.com/Files/TextWatch/204/2021/1104/4828f2bec29d42dcaad8cb044dcc2993.jpg,2.0,2.0,train,4828f2bec29d42dcaad8cb044dcc2993
10,샤넬 클러치백 보이 클러치 은장 M  L,http://res.faikerz.com/Files/TextWatch/204/2021/1104/072531dceb464d79812af22df5cf849d.jpg,2.0,2.0,train,072531dceb464d79812af22df5cf849d
11,샤넬 가브리엘 백팩 스몰 화이트,http://res.faikerz.com/Files/TextWatch/204/2021/1104/1d73bf26e4064f17b10c1b4b8938eee6.jpg,2.0,3.0,train,1d73bf26e4064f17b10c1b4b8938eee6
12,샤넬 클래식 플랩백 점보,http://res.faikerz.com/Files/TextWatch/204/2021/1104/cc762fd6244e41ed9b827e39b8d00ec4.jpg,2.0,5.0,train,cc762fd6244e41ed9b827e39b8d00ec4
13,샤넬 클래식 캐비어 핸드폰 미니백,http://res.faikerz.com/Files/TextWatch/204/2021/1104/7c3d32c207f143b4b4a0723c817d6c0b.jpg,2.0,5.0,train,7c3d32c207f143b4b4a0723c817d6c0b
14,샤넬 이니셜 가브리엘 호보백,http://res.faikerz.com/Files/TextWatch/204/2021/1104/bfe0932e2d604811aea24f04f0f71fcf.jpg,2.0,3.0,train,bfe0932e2d604811aea24f04f0f71fcf
15,샤넬 19 WOC 블랙,http://res.faikerz.com/Files/TextWatch/204/2021/1104/ec30b9b89c3a4efcafc982dc6dcd7ec0.jpg,2.0,7.0,train,ec30b9b89c3a4efcafc982dc6dcd7ec0
