"TITLE","IMAGE_URL","product_type_code","PRODUCT_FOCUS"
"샤넬 메탈밴드시계 프리미에르 검판 은장 체인","http://res.faikerz.com/Files/TextWatch/204/2021/1104/6d80e40419e44548957e795cf689ad71.jpg","5","2"
"샤넬 크로스백 클래식 WOC 램스킨 금장","http://res.faikerz.com/Files/TextWatch/204/2021/1104/02fd2f20e75e444c8a2c72e928b6d852.jpg","2","5"
"샤넬 클래식 참 장식 숄더백 미듐","http://res.faikerz.com/Files/TextWatch/204/2021/1104/ba4a4e3f1d964a60a06e22dfce07bee0.jpg","2","5"
"샤넬 19 플랩백 스몰","http://res.faikerz.com/Files/TextWatch/204/2021/1104/00dcd87682fd402a889eae83003d6466.jpg","2","7"
"샤넬 클래식 25 램스킨 은장","http://res.faikerz.com/Files/TextWatch/204/2021/1104/6f1487701f834aedac86f9134918b8b5.jpg","2","5"
"샤넬 클러치백 클래식 미니 클러치","http://res.faikerz.com/Files/TextWatch/204/2021/1104/7d7bdb20e2224205bd6a690a34598b1f.jpg","2","5"
"샤넬 19 라지 플랩백 이리데슨트 화이트","http://res.faikerz.com/Files/TextWatch/204/2021/1104/c78ffc729820410897ef7be6125921be.jpg","2","7"
"샤넬 가브리엘 백팩 스몰","http://res.faikerz.com/Files/TextWatch/204/2021/1104/0d3644d71ed544678ab412732e3c50eb.jpg","2","3"
"샤넬 19 라운드 탬버린백","http://res.faikerz.com/Files/TextWatch/204/2021/1104/ba93bfa5abc5406ebafe3d9bfb6801b8.jpg","2","7"
"샤넬 보이 램스킨 클러치","http://res.faikerz.com/Files/TextWatch/204/2021/1104/4828f2bec29d42dcaad8cb044dcc2993.jpg","2","2"
"샤넬 클러치백 보이 클러치 은장 M  L","http://res.faikerz.com/Files/TextWatch/204/2021/1104/072531dceb464d79812af22df5cf849d.jpg","2","2"
"샤넬 가브리엘 백팩 스몰 화이트","http://res.faikerz.com/Files/TextWatch/204/2021/1104/1d73bf26e4064f17b10c1b4b8938eee6.jpg","2","3"
"샤넬 클래식 플랩백 점보","http://res.faikerz.com/Files/TextWatch/204/2021/1104/cc762fd6244e41ed9b827e39b8d00ec4.jpg","2","5"
"샤넬 클래식 캐비어 핸드폰 미니백","http://res.faikerz.com/Files/TextWatch/204/2021/1104/7c3d32c207f143b4b4a0723c817d6c0b.jpg","2","5"
"샤넬 이니셜 가브리엘 호보백","http://res.faikerz.com/Files/TextWatch/204/2021/1104/bfe0932e2d604811aea24f04f0f71fcf.jpg","2","3"
"샤넬 19 WOC 블랙","http://res.faikerz.com/Files/TextWatch/204/2021/1104/ec30b9b89c3a4efcafc982dc6dcd7ec0.jpg","2","7"
"샤넬 숄더백 19 라지 플랩백 블랙","http://res.faikerz.com/Files/TextWatch/204/2021/1104/5a6a8ded9b6644d8be03badc4ca3ecd1.jpg","2","7"
"샤넬 J12 큐빅 세라믹 워치","http://res.faikerz.com/Files/TextWatch/204/2021/1104/aad24bac826d43c384890bad62c1f59b.jpg","5","1"
"샤넬 가브리엘 클러치","http://res.faikerz.com/Files/TextWatch/204/2021/1104/3ea8db24471d49f7abb49453bd515109.jpg","2","3"
"샤넬 J12 화이트다이얼 세라믹 워치","http://res.faikerz.com/Files/TextWatch/204/2021/1104/4d81eb3c9be249c0a61edf635a71437e.jpg","5","1"
"샤넬 여성향수 가브리엘 WOC","http://res.faikerz.com/Files/TextWatch/204/2021/1104/e17b7e8825be4b39ba8bb37925eded0a.jpg","2","3"
"샤넬 J12 숫자판 화이트다이얼 세라믹 워치","http://res.faikerz.com/Files/TextWatch/204/2021/1104/7bdaa0bd0d7a4c89a33ce530a0bf2609.jpg","5","1"
"샤넬 램스킨 카드 반지갑","http://res.faikerz.com/Files/TextWatch/204/2021/1104/4a9a22b1ee274d41b08ba5383daa2d27.jpg","4","NULL"
"샤넬 메탈밴드시계 J12 숫자판 은장 블랙 메탈","http://res.faikerz.com/Files/TextWatch/204/2021/1104/88707ec5e1c448b3aa728707040ef718.jpg","5","1"
"샤넬 숄더백 가브리엘 호보 M  S 블랙","http://res.faikerz.com/Files/TextWatch/204/2021/1104/95ec88a8b3464f68bd5aea583393a079.jpg","2","3"
"샤넬 보이프랜드 검판 금장 가죽","http://res.faikerz.com/Files/TextWatch/204/2021/1104/518c9454983a44a4aa70613919ae9aee.jpg","5","3"
"샤넬 패션목걸이 CC로고 목걸이 카드홀더 3color","http://res.faikerz.com/Files/TextWatch/204/2021/1104/7526d6d0a31d4a19acffcbe2b69269ee.jpg","4","NULL"
"샤넬 메탈밴드시계 보이프랜드 흰판 금장 가죽","http://res.faikerz.com/Files/TextWatch/204/2021/1104/3b7f34f1413348cabcaaade0d40f943b.jpg","5","3"
"샤넬 2.55 빈티지 M 은장","http://res.faikerz.com/Files/TextWatch/204/2021/1104/ef6715f518e84c9ca5982f8d78bf060d.jpg","2","1"
"샤넬 19 신상 CC 플랩백","http://res.faikerz.com/Files/TextWatch/204/2021/1104/96cdecf8f44f4e4395630d21a99f9148.jpg","2","7"
"샤넬 숄더백 보이백 25 은장 캐비어","http://res.faikerz.com/Files/TextWatch/204/2021/1104/6dc64eca34fe40a6a4e709efec50266b.jpg","2","2"
"샤넬 숄더백 보이백 25 은장 램스킨","http://res.faikerz.com/Files/TextWatch/204/2021/1104/d5ed5439d3aa42e58aee4b141194c4ad.jpg","2","2"
"샤넬 보이프랜드 흰판 은장 가죽","http://res.faikerz.com/Files/TextWatch/204/2021/1104/0f4961d68b20487a886c4969bab55b92.jpg","5","3"
"샤넬 클러치백 뉴 클래식 스몰 파우치 램스킨","http://res.faikerz.com/Files/TextWatch/204/2021/1104/35d40b61a7b341598d913efd001d8cea.jpg","2","5"
"샤넬 19 목걸이 카드홀더 3color","http://res.faikerz.com/Files/TextWatch/204/2021/1104/bf414ca90aa04293b22e65029217b818.jpg","4","NULL"
"샤넬 19 woc 플랩백","http://res.faikerz.com/Files/TextWatch/204/2021/1104/f051e18024ed45a9b3d5e4c23c5bc3f0.jpg","2","7"
"샤넬 코코핸들 스몰 캐비어","http://res.faikerz.com/Files/TextWatch/204/2021/1104/96271d4fe2a5465e893959316c4eb561.jpg","2","6"
"샤넬 2.55 빈티지 M 금장","http://res.faikerz.com/Files/TextWatch/204/2021/1104/d805213e943b465a8e9f061642a9d208.jpg","2","1"
"샤넬 숄더백 보이백 25 은장 램스킨","http://res.faikerz.com/Files/TextWatch/204/2021/1104/180c984d2fb7475583779780ada7c097.jpg","2","2"
"샤넬 보이 램스킨 클러치","http://res.faikerz.com/Files/TextWatch/204/2021/1104/0b5a5548e44b4fd0bc9eef3dde7632ac.jpg","2","2"
"샤넬 2.55 빈티지 M 금장","http://res.faikerz.com/Files/TextWatch/204/2021/1104/c1618c8a234c4fd7898ae8a8057f7d9d.jpg","2","1"
"샤넬 19 신상 CC 플랩백","http://res.faikerz.com/Files/TextWatch/204/2021/1104/e037fbc5448c41e49ad41ecbefd02e2d.jpg","2","7"
"샤넬 클래식 캐비어 핸드폰 미니백","http://res.faikerz.com/Files/TextWatch/204/2021/1104/222f6ce276824c43b448ee34d0ac8636.jpg","2","5"
"샤넬 패션목걸이 CC로고 목걸이 카드홀더 3color","http://res.faikerz.com/Files/TextWatch/204/2021/1104/bf106dbb1a824184a9f023f8b9fa03a2.jpg","4","NULL"
"샤넬 램스킨 카드 반지갑","http://res.faikerz.com/Files/TextWatch/204/2021/1104/3cc17b67db33492ab14f7cdf28e36efe.jpg","4","NULL"
"샤넬 19 라지 플랩백 이리데슨트 화이트","http://res.faikerz.com/Files/TextWatch/204/2021/1104/a2a777471fbf45a0953ede861b55c128.jpg","2","7"
"샤넬 숄더백 19 라지 플랩백 블랙","http://res.faikerz.com/Files/TextWatch/204/2021/1104/f6a9514b47d84ef79935daf6fe52127b.jpg","2","7"
"샤넬 메탈밴드시계 J12 숫자판 은장 블랙 메탈","http://res.faikerz.com/Files/TextWatch/204/2021/1104/e9a6475e5a094ab2a0538d0d5fe7b4f9.jpg","5","1"
"샤넬 숄더백 보이백 25 은장 캐비어","http://res.faikerz.com/Files/TextWatch/204/2021/1104/98b898d1ce0f40c99fc631f1cf13d6f2.jpg","2","2"
"샤넬 J12 화이트다이얼 세라믹 워치","http://res.faikerz.com/Files/TextWatch/204/2021/1104/26bda672ed26468a8cebbccba3c17314.jpg","5","1"
"샤넬 여성향수 가브리엘 WOC","http://res.faikerz.com/Files/TextWatch/204/2021/1104/e1df64a435104bd1bc4291c411473629.jpg","2","3"
"샤넬 크로스백 클래식 WOC 램스킨 금장","http://res.faikerz.com/Files/TextWatch/204/2021/1104/f3e881411579443b885890166f352860.jpg","2","5"
"샤넬 19 목걸이 카드홀더 3color","http://res.faikerz.com/Files/TextWatch/204/2021/1104/591e97b7978d49baa952c08ca91aa73b.jpg","4","NULL"
"샤넬 19 라운드 탬버린백","http://res.faikerz.com/Files/TextWatch/204/2021/1104/7463eb5b5daa4682b7db9b55355d811c.jpg","2","7"
"샤넬 19 woc 플랩백","http://res.faikerz.com/Files/TextWatch/204/2021/1104/2e9b04bbb65e44afaa0db4b5ca47470e.jpg","2","7"
"샤넬 보이프랜드 검판 금장 가죽","http://res.faikerz.com/Files/TextWatch/204/2021/1104/468df5d18d42494c9b20686a0fe12c12.jpg","5","3"
"샤넬 메탈밴드시계 보이프랜드 흰판 금장 가죽","http://res.faikerz.com/Files/TextWatch/204/2021/1104/e26b4371c9de4486a41a9d23c36c69f1.jpg","5","3"
"샤넬 2.55 빈티지 M 은장","http://res.faikerz.com/Files/TextWatch/204/2021/1104/a977d4b11f49413fbee7e1d54e6fba51.jpg","2","1"
"샤넬 클래식 참 장식 숄더백 미듐","http://res.faikerz.com/Files/TextWatch/204/2021/1104/45664c61762d482b85542acc3990f59d.jpg","2","5"
"샤넬 J12 세라믹 숫자문자판 블랙","http://res.faikerz.com/Files/TextWatch/204/2021/1104/55637432a8404058ac9820687977b105.jpg","5","1"
"샤넬 클래식 미니 빅볼 플랩백 18cm","http://res.faikerz.com/Files/TextWatch/204/2021/1104/d56ddb8d6ffa4948a88e3ebdffa0bb84.jpg","2","5"
"샤넬 클래식 미니 빅볼 플랩백","http://res.faikerz.com/Files/TextWatch/204/2021/1104/6599cbd01cad41509d5c9dc83dd224bf.jpg","2","5"
"샤넬 19 3단 반지갑 블랙","http://res.faikerz.com/Files/TextWatch/204/2021/1104/6e8da2ce77c3433a83e8056ae0c305ab.jpg","4","NULL"
"샤넬 보이 램스킨 클러치","http://res.faikerz.com/Files/TextWatch/204/2021/1104/1820b49c90a44a499aab749ab11feb79.jpg","2","2"
"샤넬 카드지갑 보이 지퍼 동전지갑 캐비어","http://res.faikerz.com/Files/TextWatch/204/2021/1104/907eee05f77340298f633b334b6a537e.jpg","2","2"
"샤넬 가브리엘 호보백 미듐","http://res.faikerz.com/Files/TextWatch/204/2021/1104/e6052f811c1c40b4855cc951bfbfa0fe.jpg","2","3"
"샤넬 신상 19 플랩백 아이보리","http://res.faikerz.com/Files/TextWatch/204/2021/1104/c677df83ce834d418c5f5a117fb623f3.jpg","2","7"
"샤넬 토트백 코코핸들 램스킨","http://res.faikerz.com/Files/TextWatch/204/2021/1104/e776418295b64892ab6a75501f06b0f5.jpg","2","6"
"샤넬 토트백 코코핸들 캐비어 스몰","http://res.faikerz.com/Files/TextWatch/204/2021/1104/054849b12aab41ce945061f9c640e93d.jpg","2","6"
"샤넬 보이백 25 램스킨 은장 고급","http://res.faikerz.com/Files/TextWatch/204/2021/1104/4ec71b73e5724a7a93e77992d49d5576.jpg","2","2"
"샤넬 숄더백 클래식 뉴미니 램스킨","http://res.faikerz.com/Files/TextWatch/204/2021/1104/ec88572972924ff58059c533aec015a7.jpg","2","5"
"샤넬 클래식 쉐브론 아이보리 20cm","http://res.faikerz.com/Files/TextWatch/204/2021/1104/10e46ec6ae844e8997aa44a20266dd92.jpg","2","5"
"샤넬 숄더백 캔디 트렌디 핸들백","http://res.faikerz.com/Files/TextWatch/204/2021/1104/43e963c6f6c54ce2ab4b9d17b345ebc7.jpg","2","8"
"샤넬 가죽밴드시계 보이프렌드 금장 가죽 고급형","http://res.faikerz.com/Files/TextWatch/204/2021/1104/6c9a1dd761e046c7a4f4f911208055d4.jpg","5","3"
"샤넬 19 3단 반지갑","http://res.faikerz.com/Files/TextWatch/204/2021/1104/7e5d6c35cef84a509706225f29742ba3.jpg","4","NULL"
"샤넬 패션팔찌 스트랩샌들 까멜리아 검판 금장","http://res.faikerz.com/Files/TextWatch/204/2021/1104/ce960eaf9fb147f6a448df56f95344de.jpg","3","NULL"
"샤넬J12 세라믹 숫자문자판","http://res.faikerz.com/Files/TextWatch/204/2021/1103/6286a956164449c880e753e029608461.jpg","5","1"
"샤넬 J12 세라믹 큐빅문자판 블랙","http://res.faikerz.com/Files/TextWatch/204/2021/1104/5888c728d9a742af9f4e2b5786b47744.jpg","5","1"
"샤넬 쁘띠삭 골드볼 블랙 화이트","http://res.faikerz.com/Files/TextWatch/204/2021/1104/15d05e2da72d488db0cf3679fbc13ad8.jpg","4","NULL"
"샤넬 가브리엘 링클 클러치","http://res.faikerz.com/Files/TextWatch/204/2021/1104/2308114bb6c042dd9539e1aa73e4cae3.jpg","2","3"
"샤넬 클래식 쉐브론 아이보리 25cm","http://res.faikerz.com/Files/TextWatch/204/2021/1104/373820fa25884248a1a8938ce97da4b4.jpg","2","5"
"샤넬 가브리엘 백팩 스몰","http://res.faikerz.com/Files/TextWatch/204/2021/1104/b9773bb4b919442694a519d9b846d194.jpg","2","3"
"샤넬 클래식 미디엄 캐비어","http://res.faikerz.com/Files/TextWatch/204/2021/1104/fede393257ca446d9188b8fa934ac456.jpg","2","5"
"샤넬 신상 19 플랩백","http://res.faikerz.com/Files/TextWatch/204/2021/1104/b95f8d3b8a8f4f1c8b2f02f0f66b1aa1.jpg","2","7"
"샤넬 크로스백 클래식 캐비어 25.5 금장 은장","http://res.faikerz.com/Files/TextWatch/204/2021/1104/1ceddedabf4048bd9499fd5f5563c3c3.jpg","2","5"
"샤넬 클래식 똑딱이 카드지갑","http://res.faikerz.com/Files/TextWatch/204/2021/1104/0a7dd1e75a1347fe9033767f14f69ee6.jpg","2","5"
"샤넬 메탈밴드시계 J12 세라믹 숫자문자판 블랙","http://res.faikerz.com/Files/TextWatch/204/2021/1103/977e730d3dd64ec4a775bd95d43216d5.jpg","5","1"
"샤넬 보이 3단 반지갑 블랙","http://res.faikerz.com/Files/TextWatch/204/2021/1104/4ccea0b406a0411da478a01a6e938ea5.jpg","4","NULL"
"샤넬 클래식 뉴미니 캐비어","http://res.faikerz.com/Files/TextWatch/204/2021/1104/69511e883f704f5d9b097e40e3c6943e.jpg","2","5"
"샤넬 트렌디 WOC 듀얼 플랩백","http://res.faikerz.com/Files/TextWatch/204/2021/1104/10fefef9792b4855bbbfa0d6cde51755.jpg","2","8"
"샤넬 클래식 램스킨 금장 은장","http://res.faikerz.com/Files/TextWatch/204/2021/1104/469954913c21465c94308a0296e20aff.jpg","2","5"
"샤넬 가브리엘 호보백 스몰","http://res.faikerz.com/Files/TextWatch/204/2021/1104/00cfd56339b741ad87c03ffaad6dd8f4.jpg","2","3"
"샤넬 크로스백 클래식 캐비어 금장","http://res.faikerz.com/Files/TextWatch/204/2021/1104/ce5e904e44d943cfabcde27be3a43039.jpg","2","5"
"샤넬 보이백 25 캐비어 금장 고급","http://res.faikerz.com/Files/TextWatch/204/2021/1104/e6dad2cd43f941e88b3da1056f5f895f.jpg","2","2"
"샤넬 크로스백 클래식 캐비어 라지","http://res.faikerz.com/Files/TextWatch/204/2021/1104/f402337e473e4aca9410530fe965216d.jpg","2","5"
"샤넬 19 WOC 블랙 아이보리","http://res.faikerz.com/Files/TextWatch/204/2021/1104/5851a187f99747f1b064ca2d7857a955.jpg","2","7"
"샤넬 크로스백 클래식 캐비어 25.5 금장 은장","http://res.faikerz.com/Files/TextWatch/204/2021/1104/8aab7f4fbbdb49c0a0fbb9874eae3651.jpg","2","5"
"샤넬 숄더백 캔디 트렌디 핸들백","http://res.faikerz.com/Files/TextWatch/204/2021/1104/a0bc351d4f4c4c8aa498b8f6ecfc18a7.jpg","2","8"
"샤넬 클래식 쉐브론 아이보리 25cm","http://res.faikerz.com/Files/TextWatch/204/2021/1104/572f82c1247c4b26ab264301efc88291.jpg","2","5"
"샤넬 패션팔찌 스트랩샌들 까멜리아 검판 금장","http://res.faikerz.com/Files/TextWatch/204/2021/1104/add37308335e41808ad266720b8ff87c.jpg","3","NULL"
"샤넬 클래식 램스킨 금장 은장","http://res.faikerz.com/Files/TextWatch/204/2021/1104/fc1a3da0c7114564b41a5387a719fcfe.jpg","2","5"
"샤넬 클래식 미니 빅볼 플랩백","http://res.faikerz.com/Files/TextWatch/204/2021/1104/d0eb3b6586b94339b487e89c41081aa2.jpg","2","5"
"샤넬 클래식 미디엄 캐비어","http://res.faikerz.com/Files/TextWatch/204/2021/1104/491477c5b8ec436c8d8ae20a86244bf9.jpg","2","5"
"샤넬 클래식 똑딱이 카드지갑","http://res.faikerz.com/Files/TextWatch/204/2021/1104/fc5950aa6afa421587f6940caaecbb45.jpg","2","5"
"샤넬 보이 3단 반지갑 블랙","http://res.faikerz.com/Files/TextWatch/204/2021/1104/05ee014cf3454252a954ef969154269e.jpg","4","NULL"
"샤넬 J12 세라믹 숫자문자판 블랙","http://res.faikerz.com/Files/TextWatch/204/2021/1104/fed990814c154ff58f70482e2257fd52.jpg","5","1"
"샤넬 가브리엘 링클 클러치","http://res.faikerz.com/Files/TextWatch/204/2021/1104/14e075714ea943059ed2ca0d2b498ada.jpg","2","3"
"샤넬 쁘띠삭 골드볼 블랙 화이트","http://res.faikerz.com/Files/TextWatch/204/2021/1104/eb05e31f465d4bdc996fd06a8aab9de1.jpg","4","NULL"
"샤넬 19 3단 반지갑 블랙","http://res.faikerz.com/Files/TextWatch/204/2021/1104/eba2cc5dd17548beae0c76b2fe679fc8.jpg","4","NULL"
"샤넬 19 WOC 블랙 아이보리","http://res.faikerz.com/Files/TextWatch/204/2021/1104/6d646495524d4055bfb93435c3483552.jpg","2","7"
"샤넬 보이 램스킨 클러치","http://res.faikerz.com/Files/TextWatch/204/2021/1104/2642d9a95a2948f58c66264926fbfd96.jpg","2","2"
"샤넬 토트백 코코핸들 캐비어 스몰","http://res.faikerz.com/Files/TextWatch/204/2021/1104/e28aa7d732f54e9cb4f1abc0e53fda50.jpg","2","6"
"샤넬 카드지갑 보이 지퍼 동전지갑 캐비어","http://res.faikerz.com/Files/TextWatch/204/2021/1104/bfb386363e914ffe9628fa8ca0c60100.jpg","2","2"
"샤넬 J12 세라믹 큐빅문자판 블랙","http://res.faikerz.com/Files/TextWatch/204/2021/1104/eae388b6ce6243bd823133bb86756b92.jpg","5","1"
"샤넬 가브리엘 호보백 미듐","http://res.faikerz.com/Files/TextWatch/204/2021/1104/78cdd221012f43c18f1193cf778b69ae.jpg","2","3"
"샤넬 신상 19 플랩백","http://res.faikerz.com/Files/TextWatch/204/2021/1104/250764881b89445eaea8aed737bf53f1.jpg","2","7"
"샤넬 클래식 뉴미니 캐비어","http://res.faikerz.com/Files/TextWatch/204/2021/1104/f240bb4a211441f3a385fbeefead515d.jpg","2","5"
"샤넬 클래식 쉐브론 아이보리 20cm","http://res.faikerz.com/Files/TextWatch/204/2021/1104/79152f3790424f71b87efcfc07f8bc83.jpg","2","5"
"샤넬 크로스백 클래식 캐비어 라지","http://res.faikerz.com/Files/TextWatch/204/2021/1104/b5b9b69424e64b5a85a6654679ba7ed8.jpg","2","5"
"샤넬 보이 WOC","http://res.faikerz.com/Files/TextWatch/204/2021/1104/6fca2e25001c4ea1a03212a6391638e3.jpg","2","2"
"샤넬 메탈밴드시계 J12","http://res.faikerz.com/Files/TextWatch/204/2021/1104/5a948b4ded5145829a59ef5d3a089e38.jpg","5","1"
"샤넬 카드지갑 클래식 지퍼 동전지갑","http://res.faikerz.com/Files/TextWatch/204/2021/1104/3f584ef1b9c940ce91b3ffb927381140.jpg","2","5"
"샤넬 클래식 라지","http://res.faikerz.com/Files/TextWatch/204/2021/1104/2b390c4d46714f8fb635f26e228f975a.jpg","2","5"
"샤넬 코코 핸들 스몰","http://res.faikerz.com/Files/TextWatch/204/2021/1104/d409b497429b4a2ca7776045e69e12bd.jpg","2","6"
"샤넬 가브리엘 호보백 뉴미듐","http://res.faikerz.com/Files/TextWatch/204/2021/1104/3d36a0b280604274a7e4c36325af5028.jpg","2","3"
"샤넬 19백 미듐","http://res.faikerz.com/Files/TextWatch/204/2021/1104/b9a031c5c2ca4cbd93b173341a008b97.jpg","2","7"
"샤넬 코코 핸들 미듐","http://res.faikerz.com/Files/TextWatch/204/2021/1104/4b92e1bb5e8741699313a479769d5de9.jpg","2","6"
"샤넬 보이 클러치","http://res.faikerz.com/Files/TextWatch/204/2021/1104/49c9f177866f4f9299781079e446b32b.jpg","2","2"
"샤넬 19 플랩백","http://res.faikerz.com/Files/TextWatch/204/2021/1104/daeb813546604dc18b50dbafca2a2c1f.jpg","2","7"
"샤넬 19백 라지","http://res.faikerz.com/Files/TextWatch/204/2021/1104/63a0872bdddd44cc98b363f921c69bcb.jpg","2","7"
"샤넬 클래식 플랩백","http://res.faikerz.com/Files/TextWatch/204/2021/1104/9ed65bed68964212adc29c4e9e0b9e04.jpg","2","5"
